degree,count,network
0,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
1,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
2,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
3,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
4,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
5,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
6,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
7,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
8,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
9,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
10,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
11,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
12,1,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
13,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
14,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
15,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
16,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
17,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
18,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
19,3,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
20,2,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
21,4,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
22,6,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
23,3,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
24,6,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
25,4,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
26,6,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
27,3,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
28,2,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
29,3,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
30,2,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
31,4,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
32,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
33,0,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
34,1,"GMM SIMULATION-(gnp_random_graph(25,0.5))_with_int_labels_50"
0,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
1,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
2,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
3,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
4,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
5,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
6,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
7,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
8,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
9,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
10,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
11,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
12,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
13,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
14,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
15,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
16,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
17,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
18,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
19,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
20,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
21,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
22,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
23,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
24,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
25,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
26,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
27,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
28,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
29,1,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
30,1,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
31,3,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
32,4,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
33,4,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
34,4,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
35,4,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
36,10,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
37,8,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
38,2,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
39,7,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
40,5,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
41,8,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
42,4,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
43,2,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
44,3,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
45,1,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
46,1,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
47,0,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
48,1,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
49,2,"GMM SIMULATION-(gnp_random_graph(50,0.5))_with_int_labels_75"
0,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
1,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
2,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
3,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
4,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
5,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
6,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
7,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
8,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
9,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
10,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
11,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
12,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
13,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
14,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
15,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
16,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
17,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
18,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
19,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
20,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
21,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
22,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
23,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
24,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
25,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
26,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
27,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
28,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
29,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
30,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
31,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
32,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
33,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
34,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
35,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
36,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
37,2,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
38,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
39,2,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
40,0,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
41,1,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
42,3,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
43,2,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
44,7,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
45,5,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
46,8,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
47,7,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
48,8,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
49,5,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
50,10,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
51,9,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
52,5,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
53,6,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
54,4,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
55,5,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
56,3,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
57,3,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
58,1,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
59,2,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
60,1,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
61,1,"GMM SIMULATION-(gnp_random_graph(75,0.5))_with_int_labels_100"
0,0,"gnp_random_graph(100,0.5)_100"
1,0,"gnp_random_graph(100,0.5)_100"
2,0,"gnp_random_graph(100,0.5)_100"
3,0,"gnp_random_graph(100,0.5)_100"
4,0,"gnp_random_graph(100,0.5)_100"
5,0,"gnp_random_graph(100,0.5)_100"
6,0,"gnp_random_graph(100,0.5)_100"
7,0,"gnp_random_graph(100,0.5)_100"
8,0,"gnp_random_graph(100,0.5)_100"
9,0,"gnp_random_graph(100,0.5)_100"
10,0,"gnp_random_graph(100,0.5)_100"
11,0,"gnp_random_graph(100,0.5)_100"
12,0,"gnp_random_graph(100,0.5)_100"
13,0,"gnp_random_graph(100,0.5)_100"
14,0,"gnp_random_graph(100,0.5)_100"
15,0,"gnp_random_graph(100,0.5)_100"
16,0,"gnp_random_graph(100,0.5)_100"
17,0,"gnp_random_graph(100,0.5)_100"
18,0,"gnp_random_graph(100,0.5)_100"
19,0,"gnp_random_graph(100,0.5)_100"
20,0,"gnp_random_graph(100,0.5)_100"
21,0,"gnp_random_graph(100,0.5)_100"
22,0,"gnp_random_graph(100,0.5)_100"
23,0,"gnp_random_graph(100,0.5)_100"
24,0,"gnp_random_graph(100,0.5)_100"
25,0,"gnp_random_graph(100,0.5)_100"
26,0,"gnp_random_graph(100,0.5)_100"
27,0,"gnp_random_graph(100,0.5)_100"
28,0,"gnp_random_graph(100,0.5)_100"
29,0,"gnp_random_graph(100,0.5)_100"
30,0,"gnp_random_graph(100,0.5)_100"
31,0,"gnp_random_graph(100,0.5)_100"
32,0,"gnp_random_graph(100,0.5)_100"
33,0,"gnp_random_graph(100,0.5)_100"
34,0,"gnp_random_graph(100,0.5)_100"
35,1,"gnp_random_graph(100,0.5)_100"
36,1,"gnp_random_graph(100,0.5)_100"
37,0,"gnp_random_graph(100,0.5)_100"
38,0,"gnp_random_graph(100,0.5)_100"
39,1,"gnp_random_graph(100,0.5)_100"
40,0,"gnp_random_graph(100,0.5)_100"
41,5,"gnp_random_graph(100,0.5)_100"
42,6,"gnp_random_graph(100,0.5)_100"
43,2,"gnp_random_graph(100,0.5)_100"
44,3,"gnp_random_graph(100,0.5)_100"
45,11,"gnp_random_graph(100,0.5)_100"
46,4,"gnp_random_graph(100,0.5)_100"
47,12,"gnp_random_graph(100,0.5)_100"
48,9,"gnp_random_graph(100,0.5)_100"
49,5,"gnp_random_graph(100,0.5)_100"
50,3,"gnp_random_graph(100,0.5)_100"
51,6,"gnp_random_graph(100,0.5)_100"
52,5,"gnp_random_graph(100,0.5)_100"
53,4,"gnp_random_graph(100,0.5)_100"
54,5,"gnp_random_graph(100,0.5)_100"
55,3,"gnp_random_graph(100,0.5)_100"
56,5,"gnp_random_graph(100,0.5)_100"
57,2,"gnp_random_graph(100,0.5)_100"
58,3,"gnp_random_graph(100,0.5)_100"
59,0,"gnp_random_graph(100,0.5)_100"
60,3,"gnp_random_graph(100,0.5)_100"
61,0,"gnp_random_graph(100,0.5)_100"
62,1,"gnp_random_graph(100,0.5)_100"
0,0,"gnp_random_graph(25,0.5)_25"
1,0,"gnp_random_graph(25,0.5)_25"
2,0,"gnp_random_graph(25,0.5)_25"
3,0,"gnp_random_graph(25,0.5)_25"
4,0,"gnp_random_graph(25,0.5)_25"
5,0,"gnp_random_graph(25,0.5)_25"
6,1,"gnp_random_graph(25,0.5)_25"
7,0,"gnp_random_graph(25,0.5)_25"
8,1,"gnp_random_graph(25,0.5)_25"
9,1,"gnp_random_graph(25,0.5)_25"
10,1,"gnp_random_graph(25,0.5)_25"
11,1,"gnp_random_graph(25,0.5)_25"
12,4,"gnp_random_graph(25,0.5)_25"
13,5,"gnp_random_graph(25,0.5)_25"
14,3,"gnp_random_graph(25,0.5)_25"
15,5,"gnp_random_graph(25,0.5)_25"
16,3,"gnp_random_graph(25,0.5)_25"
0,0,"gnp_random_graph(50,0.5)_50"
1,0,"gnp_random_graph(50,0.5)_50"
2,0,"gnp_random_graph(50,0.5)_50"
3,0,"gnp_random_graph(50,0.5)_50"
4,0,"gnp_random_graph(50,0.5)_50"
5,0,"gnp_random_graph(50,0.5)_50"
6,0,"gnp_random_graph(50,0.5)_50"
7,0,"gnp_random_graph(50,0.5)_50"
8,0,"gnp_random_graph(50,0.5)_50"
9,0,"gnp_random_graph(50,0.5)_50"
10,0,"gnp_random_graph(50,0.5)_50"
11,0,"gnp_random_graph(50,0.5)_50"
12,0,"gnp_random_graph(50,0.5)_50"
13,0,"gnp_random_graph(50,0.5)_50"
14,0,"gnp_random_graph(50,0.5)_50"
15,1,"gnp_random_graph(50,0.5)_50"
16,0,"gnp_random_graph(50,0.5)_50"
17,0,"gnp_random_graph(50,0.5)_50"
18,0,"gnp_random_graph(50,0.5)_50"
19,0,"gnp_random_graph(50,0.5)_50"
20,3,"gnp_random_graph(50,0.5)_50"
21,3,"gnp_random_graph(50,0.5)_50"
22,4,"gnp_random_graph(50,0.5)_50"
23,8,"gnp_random_graph(50,0.5)_50"
24,3,"gnp_random_graph(50,0.5)_50"
25,5,"gnp_random_graph(50,0.5)_50"
26,4,"gnp_random_graph(50,0.5)_50"
27,5,"gnp_random_graph(50,0.5)_50"
28,4,"gnp_random_graph(50,0.5)_50"
29,2,"gnp_random_graph(50,0.5)_50"
30,4,"gnp_random_graph(50,0.5)_50"
31,1,"gnp_random_graph(50,0.5)_50"
32,1,"gnp_random_graph(50,0.5)_50"
33,1,"gnp_random_graph(50,0.5)_50"
34,1,"gnp_random_graph(50,0.5)_50"
0,0,"gnp_random_graph(75,0.5)_75"
1,0,"gnp_random_graph(75,0.5)_75"
2,0,"gnp_random_graph(75,0.5)_75"
3,0,"gnp_random_graph(75,0.5)_75"
4,0,"gnp_random_graph(75,0.5)_75"
5,0,"gnp_random_graph(75,0.5)_75"
6,0,"gnp_random_graph(75,0.5)_75"
7,0,"gnp_random_graph(75,0.5)_75"
8,0,"gnp_random_graph(75,0.5)_75"
9,0,"gnp_random_graph(75,0.5)_75"
10,0,"gnp_random_graph(75,0.5)_75"
11,0,"gnp_random_graph(75,0.5)_75"
12,0,"gnp_random_graph(75,0.5)_75"
13,0,"gnp_random_graph(75,0.5)_75"
14,0,"gnp_random_graph(75,0.5)_75"
15,0,"gnp_random_graph(75,0.5)_75"
16,0,"gnp_random_graph(75,0.5)_75"
17,0,"gnp_random_graph(75,0.5)_75"
18,0,"gnp_random_graph(75,0.5)_75"
19,0,"gnp_random_graph(75,0.5)_75"
20,0,"gnp_random_graph(75,0.5)_75"
21,0,"gnp_random_graph(75,0.5)_75"
22,0,"gnp_random_graph(75,0.5)_75"
23,0,"gnp_random_graph(75,0.5)_75"
24,1,"gnp_random_graph(75,0.5)_75"
25,0,"gnp_random_graph(75,0.5)_75"
26,0,"gnp_random_graph(75,0.5)_75"
27,1,"gnp_random_graph(75,0.5)_75"
28,1,"gnp_random_graph(75,0.5)_75"
29,4,"gnp_random_graph(75,0.5)_75"
30,3,"gnp_random_graph(75,0.5)_75"
31,2,"gnp_random_graph(75,0.5)_75"
32,2,"gnp_random_graph(75,0.5)_75"
33,6,"gnp_random_graph(75,0.5)_75"
34,8,"gnp_random_graph(75,0.5)_75"
35,3,"gnp_random_graph(75,0.5)_75"
36,4,"gnp_random_graph(75,0.5)_75"
37,6,"gnp_random_graph(75,0.5)_75"
38,7,"gnp_random_graph(75,0.5)_75"
39,5,"gnp_random_graph(75,0.5)_75"
40,6,"gnp_random_graph(75,0.5)_75"
41,4,"gnp_random_graph(75,0.5)_75"
42,4,"gnp_random_graph(75,0.5)_75"
43,0,"gnp_random_graph(75,0.5)_75"
44,3,"gnp_random_graph(75,0.5)_75"
45,2,"gnp_random_graph(75,0.5)_75"
46,2,"gnp_random_graph(75,0.5)_75"
47,0,"gnp_random_graph(75,0.5)_75"
48,0,"gnp_random_graph(75,0.5)_75"
49,1,"gnp_random_graph(75,0.5)_75"
